iter	Passed	Remaining
0	164	163930
1	168	84162
2	173	57514
3	177	44239
4	182	36279
5	187	31030
6	191	27170
7	195	24278
8	199	21931
9	202	20074
10	206	18543
11	209	17277
12	213	16185
13	217	15284
14	221	14536
15	225	13888
16	230	13304
17	234	12776
18	238	12335
19	244	11959
20	249	11608
21	254	11295
22	259	11005
23	263	10699
24	267	10423
25	273	10237
26	278	10043
27	282	9821
28	287	9630
29	291	9431
30	295	9229
31	298	9039
32	302	8866
33	306	8721
34	310	8563
35	314	8415
36	318	8277
37	321	8144
38	324	8005
39	328	7874
40	331	7752
41	335	7656
42	339	7559
43	343	7453
44	346	7362
45	351	7294
46	355	7205
47	358	7118
48	362	7029
49	367	6991
50	372	6923
51	375	6849
52	379	6779
53	384	6731
54	388	6669
55	391	6602
56	396	6560
57	400	6505
58	404	6443
59	407	6384
60	412	6349
61	416	6307
62	420	6260
63	424	6209
64	429	6175
65	433	6131
66	436	6081
67	440	6033
68	447	6033
69	452	6006
70	456	5967
71	460	5934
72	465	5915
73	469	5876
74	476	5879
75	482	5864
76	487	5839
77	492	5822
78	498	5809
79	502	5777
80	505	5732
81	516	5779
82	519	5742
83	525	5730
84	529	5697
85	532	5664
86	536	5631
87	542	5619
88	546	5593
89	550	5562
90	555	5548
91	560	5533
92	565	5513
93	569	5492
94	575	5479
95	578	5450
96	581	5415
97	585	5391
98	589	5369
99	593	5340
100	596	5313
101	600	5285
102	604	5263
103	608	5239
104	611	5214
105	615	5194
106	620	5175
107	623	5147
108	626	5124
109	630	5100
110	634	5079
111	637	5056
112	642	5041
113	646	5026
114	652	5021
115	656	5006
116	662	4996
117	668	4996
118	672	4981
119	677	4967
120	684	4975
121	689	4965
122	695	4959
123	704	4977
124	710	4971
125	715	4964
126	720	4951
127	724	4935
128	731	4936
129	735	4923
130	739	4907
131	744	4897
132	750	4893
133	754	4875
134	759	4863
135	763	4851
136	768	4839
137	774	4835
138	780	4837
139	785	4825
140	791	4823
141	798	4823
142	803	4814
143	807	4797
144	811	4787
145	816	4774
146	820	4761
147	826	4757
148	833	4760
149	838	4751
150	845	4751
151	849	4740
152	853	4723
153	858	4714
154	862	4704
155	867	4690
156	872	4682
157	877	4677
158	881	4661
159	885	4647
160	889	4632
161	894	4625
162	898	4611
163	901	4597
164	906	4588
165	911	4579
166	915	4567
167	919	4552
168	923	4539
169	926	4525
170	930	4511
171	933	4495
172	938	4485
173	941	4470
174	946	4461
175	950	4447
176	953	4431
177	957	4420
178	960	4405
179	963	4388
180	966	4373
181	970	4359
182	974	4348
183	977	4334
184	980	4319
185	983	4305
186	987	4294
187	991	4281
188	994	4268
189	998	4254
190	1001	4242
191	1005	4229
192	1008	4215
193	1011	4203
194	1014	4189
195	1018	4178
196	1022	4166
197	1024	4151
198	1028	4140
199	1031	4126
200	1035	4115
201	1038	4102
202	1042	4091
203	1044	4076
204	1047	4060
205	1050	4050
206	1054	4038
207	1057	4026
208	1060	4014
209	1064	4003
210	1067	3993
211	1071	3983
212	1075	3972
213	1078	3961
214	1082	3951
215	1085	3941
216	1089	3929
217	1092	3918
218	1097	3914
219	1100	3902
220	1104	3892
221	1108	3883
222	1111	3874
223	1115	3864
224	1119	3854
225	1122	3844
226	1125	3834
227	1129	3823
228	1132	3811
229	1135	3801
230	1138	3791
231	1142	3782
232	1145	3772
233	1149	3761
234	1152	3750
235	1155	3739
236	1158	3730
237	1161	3719
238	1165	3711
239	1168	3701
240	1172	3691
241	1175	3681
242	1178	3671
243	1183	3666
244	1187	3658
245	1191	3652
246	1196	3646
247	1199	3638
248	1203	3629
249	1206	3619
250	1210	3611
251	1213	3602
252	1216	3593
253	1220	3583
254	1223	3575
255	1227	3566
256	1229	3555
257	1233	3546
258	1236	3536
259	1239	3526
260	1241	3515
261	1244	3506
262	1248	3497
263	1251	3488
264	1254	3479
265	1257	3468
266	1260	3460
267	1263	3450
268	1266	3441
269	1269	3432
270	1272	3422
271	1274	3411
272	1277	3403
273	1280	3393
274	1283	3384
275	1288	3378
276	1290	3369
277	1293	3359
278	1296	3350
279	1299	3342
280	1303	3335
281	1307	3328
282	1309	3318
283	1313	3310
284	1315	3300
285	1319	3293
286	1321	3283
287	1324	3275
288	1327	3265
289	1330	3256
290	1333	3248
291	1336	3241
292	1339	3232
293	1342	3224
294	1345	3215
295	1348	3207
296	1352	3201
297	1355	3193
298	1358	3185
299	1362	3178
300	1365	3172
301	1369	3165
302	1372	3157
303	1375	3150
304	1379	3143
305	1382	3135
306	1385	3127
307	1387	3117
308	1390	3110
309	1393	3101
310	1396	3092
311	1399	3085
312	1402	3078
313	1406	3073
314	1410	3066
315	1413	3058
316	1417	3054
317	1420	3047
318	1424	3040
319	1428	3034
320	1432	3030
321	1436	3024
322	1440	3020
323	1444	3013
324	1447	3006
325	1451	3001
326	1454	2993
327	1458	2987
328	1461	2980
329	1464	2973
330	1469	2969
331	1472	2962
332	1475	2955
333	1480	2951
334	1483	2945
335	1487	2940
336	1491	2933
337	1497	2931
338	1500	2925
339	1503	2918
340	1507	2913
341	1510	2906
342	1513	2899
343	1516	2891
344	1518	2882
345	1521	2875
346	1523	2867
347	1527	2861
348	1531	2857
349	1535	2852
350	1539	2845
351	1543	2841
352	1547	2836
353	1550	2829
354	1553	2823
355	1557	2817
356	1560	2811
357	1564	2805
358	1567	2798
359	1571	2792
360	1574	2787
361	1578	2781
362	1582	2776
363	1584	2769
364	1588	2763
365	1591	2757
366	1594	2750
367	1597	2743
368	1600	2736
369	1603	2730
370	1623	2752
371	1628	2748
372	1634	2747
373	1641	2747
374	1647	2745
375	1652	2741
376	1656	2737
377	1661	2733
378	1665	2728
379	1669	2724
380	1673	2719
381	1677	2714
382	1681	2709
383	1686	2705
384	1690	2699
385	1693	2693
386	1697	2688
387	1701	2683
388	1706	2679
389	1709	2674
390	1713	2668
391	1718	2665
392	1722	2660
393	1726	2655
394	1729	2648
395	1732	2643
396	1736	2638
397	1740	2631
398	1744	2628
399	1749	2623
400	1752	2617
401	1755	2611
402	1760	2608
403	1764	2603
404	1768	2597
405	1773	2594
406	1777	2589
407	1781	2585
408	1785	2579
409	1789	2574
410	1792	2569
411	1796	2563
412	1799	2557
413	1803	2553
414	1807	2547
415	1810	2541
416	1814	2536
417	1818	2531
418	1822	2527
419	1825	2521
420	1829	2516
421	1832	2510
422	1836	2504
423	1839	2498
424	1842	2492
425	1846	2487
426	1850	2482
427	1853	2477
428	1856	2471
429	1860	2466
430	1863	2460
431	1867	2455
432	1871	2450
433	1874	2445
434	1878	2439
435	1882	2434
436	1885	2429
437	1889	2423
438	1892	2418
439	1896	2413
440	1899	2408
441	1903	2403
442	1908	2400
443	1914	2396
444	1918	2392
445	1921	2387
446	1926	2383
447	1930	2378
448	1933	2373
449	1937	2367
450	1941	2363
451	1945	2358
452	1948	2352
453	1952	2347
454	1955	2342
455	1959	2337
456	1962	2332
457	1966	2327
458	1970	2322
459	1974	2317
460	1977	2312
461	1981	2307
462	1985	2302
463	1988	2297
464	1992	2292
465	1995	2286
466	1998	2281
467	2002	2275
468	2005	2270
469	2008	2264
470	2013	2261
471	2020	2260
472	2024	2255
473	2028	2251
474	2032	2246
475	2036	2242
476	2040	2237
477	2044	2232
478	2048	2228
479	2052	2223
480	2056	2219
481	2060	2214
482	2064	2210
483	2068	2205
484	2072	2200
485	2076	2196
486	2080	2191
487	2084	2186
488	2087	2181
489	2090	2176
490	2094	2171
491	2098	2166
492	2102	2162
493	2105	2156
494	2109	2151
495	2112	2146
496	2116	2142
497	2120	2137
498	2125	2134
499	2132	2132
500	2136	2127
501	2140	2123
502	2143	2118
503	2147	2113
504	2151	2108
505	2155	2103
506	2159	2099
507	2163	2095
508	2168	2091
509	2171	2086
510	2175	2082
511	2179	2077
512	2183	2072
513	2187	2068
514	2191	2063
515	2195	2059
516	2199	2054
517	2202	2049
518	2206	2045
519	2210	2040
520	2213	2035
521	2217	2030
522	2220	2025
523	2224	2020
524	2227	2015
525	2230	2009
526	2233	2004
527	2236	1999
528	2239	1994
529	2243	1989
530	2246	1984
531	2249	1978
532	2252	1973
533	2256	1969
534	2260	1964
535	2263	1959
536	2266	1954
537	2269	1948
538	2272	1943
539	2275	1938
540	2278	1933
541	2281	1928
542	2284	1922
543	2287	1917
544	2290	1912
545	2293	1907
546	2296	1901
547	2299	1896
548	2303	1892
549	2306	1887
550	2309	1882
551	2312	1877
552	2316	1872
553	2319	1867
554	2322	1862
555	2326	1857
556	2329	1852
557	2332	1847
558	2336	1843
559	2340	1838
560	2343	1834
561	2347	1829
562	2352	1825
563	2355	1821
564	2359	1816
565	2362	1811
566	2365	1806
567	2368	1801
568	2372	1796
569	2375	1792
570	2379	1787
571	2383	1783
572	2386	1778
573	2390	1773
574	2394	1769
575	2397	1764
576	2401	1760
577	2406	1757
578	2410	1752
579	2414	1748
580	2418	1744
581	2422	1739
582	2425	1735
583	2429	1730
584	2432	1725
585	2436	1721
586	2439	1716
587	2442	1711
588	2446	1707
589	2450	1703
590	2454	1698
591	2458	1694
592	2462	1689
593	2465	1684
594	2468	1680
595	2472	1676
596	2476	1671
597	2480	1667
598	2483	1662
599	2487	1658
600	2490	1653
601	2494	1649
602	2497	1644
603	2501	1639
604	2505	1635
605	2508	1630
606	2512	1626
607	2515	1622
608	2518	1617
609	2522	1612
610	2526	1608
611	2529	1603
612	2533	1599
613	2536	1594
614	2540	1590
615	2544	1585
616	2547	1581
617	2550	1576
618	2553	1571
619	2557	1567
620	2560	1562
621	2564	1558
622	2567	1553
623	2570	1549
624	2574	1544
625	2577	1539
626	2581	1535
627	2584	1531
628	2588	1526
629	2591	1522
630	2595	1517
631	2599	1513
632	2602	1508
633	2605	1504
634	2609	1499
635	2612	1495
636	2615	1490
637	2618	1485
638	2622	1481
639	2625	1476
640	2628	1472
641	2632	1467
642	2635	1463
643	2639	1459
644	2643	1454
645	2646	1450
646	2649	1445
647	2652	1441
648	2656	1436
649	2659	1432
650	2662	1427
651	2666	1423
652	2670	1418
653	2673	1414
654	2677	1410
655	2680	1405
656	2683	1401
657	2687	1396
658	2690	1392
659	2693	1387
660	2696	1382
661	2700	1378
662	2703	1374
663	2706	1369
664	2709	1364
665	2712	1360
666	2715	1355
667	2718	1351
668	2721	1346
669	2724	1341
670	2727	1337
671	2731	1333
672	2734	1328
673	2737	1324
674	2740	1319
675	2743	1314
676	2747	1310
677	2751	1306
678	2754	1302
679	2758	1297
680	2761	1293
681	2765	1289
682	2769	1285
683	2772	1281
684	2776	1276
685	2779	1272
686	2782	1267
687	2786	1263
688	2789	1259
689	2793	1255
690	2797	1250
691	2800	1246
692	2804	1242
693	2807	1237
694	2811	1234
695	2815	1229
696	2819	1225
697	2822	1221
698	2826	1217
699	2830	1212
700	2833	1208
701	2836	1204
702	2839	1199
703	2842	1195
704	2846	1191
705	2850	1186
706	2853	1182
707	2856	1178
708	2860	1174
709	2864	1170
710	2868	1165
711	2872	1161
712	2875	1157
713	2879	1153
714	2882	1148
715	2886	1144
716	2889	1140
717	2893	1136
718	2897	1132
719	2901	1128
720	2904	1123
721	2907	1119
722	2911	1115
723	2914	1111
724	2918	1106
725	2922	1102
726	2925	1098
727	2928	1094
728	2932	1089
729	2935	1085
730	2939	1081
731	2942	1077
732	2946	1073
733	2950	1069
734	2955	1065
735	2960	1061
736	2963	1057
737	2967	1053
738	2971	1049
739	2975	1045
740	2978	1041
741	2981	1036
742	2985	1032
743	2990	1028
744	2993	1024
745	2996	1020
746	3000	1016
747	3004	1012
748	3007	1007
749	3012	1004
750	3017	1000
751	3020	996
752	3023	991
753	3026	987
754	3029	983
755	3033	978
756	3036	974
757	3039	970
758	3042	966
759	3045	961
760	3049	957
761	3052	953
762	3056	949
763	3060	945
764	3064	941
765	3068	937
766	3072	933
767	3075	929
768	3078	924
769	3082	920
770	3085	916
771	3088	912
772	3091	907
773	3095	903
774	3099	899
775	3102	895
776	3106	891
777	3109	887
778	3113	883
779	3116	878
780	3119	874
781	3122	870
782	3126	866
783	3129	862
784	3132	858
785	3136	853
786	3139	849
787	3142	845
788	3145	841
789	3149	837
790	3152	832
791	3155	828
792	3159	824
793	3163	820
794	3166	816
795	3170	812
796	3174	808
797	3178	804
798	3181	800
799	3185	796
800	3189	792
801	3193	788
802	3197	784
803	3200	780
804	3204	776
805	3208	772
806	3212	768
807	3215	764
808	3219	760
809	3223	756
810	3226	751
811	3230	747
812	3233	743
813	3237	739
814	3241	735
815	3244	731
816	3247	727
817	3250	723
818	3253	719
819	3256	714
820	3260	710
821	3263	706
822	3266	702
823	3270	698
824	3273	694
825	3276	690
826	3278	685
827	3283	682
828	3287	678
829	3289	673
830	3292	669
831	3296	665
832	3299	661
833	3304	657
834	3307	653
835	3311	649
836	3315	645
837	3318	641
838	3322	637
839	3325	633
840	3329	629
841	3333	625
842	3336	621
843	3339	617
844	3343	613
845	3346	609
846	3349	605
847	3352	600
848	3355	596
849	3359	592
850	3362	588
851	3365	584
852	3369	580
853	3372	576
854	3375	572
855	3379	568
856	3382	564
857	3385	560
858	3388	556
859	3391	552
860	3395	548
861	3398	544
862	3401	540
863	3405	536
864	3408	531
865	3412	528
866	3415	523
867	3419	520
868	3422	515
869	3426	512
870	3429	507
871	3432	503
872	3436	499
873	3439	495
874	3442	491
875	3446	487
876	3449	483
877	3452	479
878	3455	475
879	3459	471
880	3463	467
881	3466	463
882	3469	459
883	3473	455
884	3477	451
885	3480	447
886	3482	443
887	3485	439
888	3489	435
889	3492	431
890	3495	427
891	3498	423
892	3500	419
893	3504	415
894	3507	411
895	3510	407
896	3513	403
897	3516	399
898	3521	395
899	3525	391
900	3529	387
901	3532	383
902	3535	379
903	3538	375
904	3541	371
905	3544	367
906	3546	363
907	3549	359
908	3553	355
909	3556	351
910	3559	347
911	3561	343
912	3565	339
913	3568	335
914	3571	331
915	3574	327
916	3577	323
917	3580	319
918	3584	315
919	3588	312
